1.000000000000000000e+00 8.500000000000000000e+00
2.000000000000000000e+00 8.500000000000000000e+00
3.000000000000000000e+00 8.539999999999999147e+00
4.000000000000000000e+00 8.500000000000000000e+00
5.000000000000000000e+00 8.500000000000000000e+00
6.000000000000000000e+00 8.500000000000000000e+00
7.000000000000000000e+00 8.500000000000000000e+00
8.000000000000000000e+00 8.490000000000000213e+00
9.000000000000000000e+00 8.500000000000000000e+00
1.000000000000000000e+01 8.449999999999999289e+00
1.100000000000000000e+01 8.449999999999999289e+00
1.200000000000000000e+01 8.449999999999999289e+00
1.300000000000000000e+01 8.449999999999999289e+00
1.400000000000000000e+01 8.400000000000000355e+00
1.500000000000000000e+01 8.400000000000000355e+00
1.600000000000000000e+01 8.400000000000000355e+00
1.700000000000000000e+01 8.349999999999999645e+00
1.800000000000000000e+01 8.339999999999999858e+00
1.900000000000000000e+01 8.339999999999999858e+00
2.000000000000000000e+01 8.330000000000000071e+00
2.200000000000000000e+01 8.289999999999999147e+00
2.300000000000000000e+01 8.289999999999999147e+00
2.400000000000000000e+01 8.310000000000000497e+00
2.500000000000000000e+01 8.300000000000000711e+00
2.600000000000000000e+01 8.310000000000000497e+00
2.700000000000000000e+01 8.300000000000000711e+00
2.800000000000000000e+01 8.300000000000000711e+00
2.900000000000000000e+01 8.220000000000000639e+00
3.000000000000000000e+01 8.169999999999999929e+00
